name,info,data,dialog,link
Министерство внутренних дел РФ,A,A,A,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=47
Министерство иностранных дел РФ,B,B,B,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=47
Министерство РФ по развитию Дальнего Востока,A,A,B,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=48
Министерство здравоохранения РФ,A,A,B,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=48
Министерство РФ по делам Северного Кавказа,B,B,A,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=49
"Министерство цифрового развития, связи и массовых коммуникаций РФ",B,A,B,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=49
Министерство культуры РФ,A,A,A,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=50
Министерство обороны РФ,B,C,B,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=50
Министерство науки и высшего образования РФ,C,C,C,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=51
Министерство природных ресурсов и экологии РФ,B,A,B,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=51
Министерство промышленности и торговли РФ,A,A,B,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=52
Министерство просвещения РФ,B,C,A,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=52
Министерство сельского хозяйства РФ,A,A,B,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=53
Министерство спорта РФ,B,B,B,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=53
"Министерство строительства и жилищно-коммунального хозяйства РФ",A,A,B,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=54
Министерство транспорта РФ,A,B,B,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=54
Министерство труда и социальной защиты РФ,A,A,C,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=55
Министерство финансов РФ,A,A,A,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=55
Министерство экономического развития РФ,B,B,A,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=56
Министерство энергетики РФ,A,A,A,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=56
Министерство юстиции РФ,A,A,C,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=57
"Министерство РФ по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий",A,B,B,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=57
